Class,FA Card,Description,Major Category,IHS Categorization,My Categorization,Parent,Sub-FA Card,Bar Code,Status,Remarks,Site New Code,Alternate Site ID,Acquisition Cost 31/12/17,Addition in Period,Disposal in Period,Acquisition Cost 31/07/18,Depreciation 31/12/17,Depreciation in Period,Disposal Depreciation in Period,Depreciation 31/07/18,Book Value 31/12/17,Book Value 31/07/18,Dep. Start date,Useful life
TW,FA/TW138638,Transportation and IC for 15KVA 1000 RUN HOUR GEN,TOWER,Generator,Generator,Child,FA/TW219358,,F,,IHS_OND_914A,IHS_OND_0914A,"67,845.10",0,0,"67,845.10","-67,845.10",0,0,"-67,845.10",0,0,12/5/2014,1.89444444
TW,FA/TW138644,Transportation and IC for 15KVA 1000 RUN HOUR GEN,TOWER,Generator,Generator,Parent,FA/TW138644,9000615244,F,"OPERATING, AVERAGE",IHS_OND_892A,IHS_OND_0892A,"67,845.10",0,0,"67,845.10","-67,845.10",0,0,"-67,845.10",0,0,12/5/2014,1.89444444
TW,FA/TW179542,Transpotation fee of 27kva Single Phase Sound Pro,TOWER,Generator,Generator,Child,FA/TW150109,,F,,IHS_OND_885A,IHS_OND_0885A,"86,154.66",0,0,"86,154.66","-86,154.66",0,0,"-86,154.66",0,0,12/5/2014,2.38888889
TW,FA/TW165459,OD2410 Transportation of 27KVA GenSet within So,TOWER,Generator,Generator,Child,FA/TW219715,,F,,IHS_OND_904A,IHS_OND_0904A,"126,000.00",0,0,"126,000.00","-126,000.00",0,0,"-126,000.00",0,0,12/5/2014,2.49722222
TW,FA/TW180653,OD3910 Transportation and Installation of 15KVA,TOWER,Generator,Generator,Parent,FA/TW180653,9000418310,F,"OPERATING, GOOD",IHS_OND_888A,IHS_OND_0888A,"126,913.05",0,0,"126,913.05","-126,913.05",0,0,"-126,913.05",0,0,12/5/2014,2.49722222
TW,FA/TW169418,Transportation and Installation Cost of 15KVA Gens,TOWER,Generator,Generator,Child,FA/TW295251,,F,,IHS_OND_863A,IHS_OND_0863A,"141,069.66",0,0,"141,069.66","-141,069.66",0,0,"-141,069.66",0,0,12/5/2014,2.49722222
TW,FA/TW150099,27KVA GENERATOR (1000 RUN HR) 3 PHASE,TOWER,Generator,Generator,Parent,,9000418112,F,"IDLE, BAD",IHS_OND_871A,IHS_OND_0871A,"144,833.52",0,0,"144,833.52","-144,833.52",0,0,"-144,833.52",0,0,12/5/2014,1.15555556
TW,FA/TW150887,I C Cost for 27KVA GEN Set (GEN SET PR REF 4716,TOWER,Generator,Generator,Child,FA/TW150109,,F,,IHS_OND_885A,IHS_OND_0885A,"10,893.15",0,0,"10,893.15","-10,893.15",0,0,"-10,893.15",0,0,12/5/2014,1.15555556
TW,FA/TW150109,27KVA GENSET (1000 RUN HOUR),TOWER,Generator,Generator,Parent,FA/TW150109,9000418237,F,"OPERATING, GOOD",IHS_OND_885A,IHS_OND_0885A,"159,114.21",0,0,"159,114.21","-159,114.21",0,0,"-159,114.21",0,0,12/5/2014,1.15555556
TW,FA/TW140068,15KVA SINGLE PHASE SOUNDPROOFED GENSET,TOWER,Generator,Generator,Parent,,,NF,,IHS_OND_856A,IHS_OND_0856A,"459,929.64",0,0,"459,929.64","-459,929.64",0,0,"-459,929.64",0,0,12/5/2014,1.73055556
TW,FA/TW180240,27KVA 3PHASE 500 RH GENSET,TOWER,Generator,Generator,Parent,FA/TW180240,9000418278,F,"IDLE, BAD",IHS_OND_878A,IHS_OND_0878A,"1,651,475.99",0,0,"1,651,475.99","-1,651,475.99",0,0,"-1,651,475.99",0,0,12/5/2014,2.49722222
TW,FA/TW180238,15KVA GENERATOR 1 PHASE (1000 RUN HOURS),TOWER,Generator,Generator,Parent,,,F,,IHS_OND_895A,IHS_OND_0895A,"1,262,674.15",0,0,"1,262,674.15","-1,262,674.15",0,0,"-1,262,674.15",0,0,12/5/2014,2.49722222
TW,FA/TW164616,40KVA GENERATOR (250 RUN HR),TOWER,Generator,Generator,Child,FA/TW246227,,F,,IHS_OND_890A,IHS_OND_0890A,"221,999.83",0,0,"221,999.83","-221,999.83",0,0,"-221,999.83",0,0,12/5/2014,1.23888889
TW,FA/TW168358,15KVA (145 LITRES) 1PHASE 1000 RH GENSET,TOWER,Generator,Generator,Parent,FA/TW168358,9000418468,F,"OPERATING, GOOD",IHS_OND_903A,IHS_OND_0903A,"1,275,370.03",0,0,"1,275,370.03","-1,275,370.03",0,0,"-1,275,370.03",0,0,12/5/2014,2.49722222
TW,FA/TW180235,15KVA (145 LITRES) 3PHASE 1000 RH GENSET,TOWER,Generator,Generator,Parent,,9000379850,F,"OPERATING, GOOD",IHS_OND_910A,IHS_OND_0910A,"1,150,206.29",0,0,"1,150,206.29","-1,150,206.29",0,0,"-1,150,206.29",0,0,12/5/2014,2.49722222
TW,FA/TW147375,27KVA GENSET (1000 RUN HOUR),TOWER,Generator,Generator,Parent,,9000595394,F,"IDLE, BAD",IHS_OND_897A,IHS_OND_0897A,"297,878.93",0,0,"297,878.93","-297,878.93",0,0,"-297,878.93",0,0,12/5/2014,1.32222222
TW,FA/TW140048,15KVA SINGLE PHASE SOUNDPROOFED GENSET,TOWER,Generator,Generator,Parent,,,NF,,IHS_OND_889A,IHS_OND_0889A,"459,929.64",0,0,"459,929.64","-459,929.64",0,0,"-459,929.64",0,0,12/5/2014,1.73055556
TW,FA/TW139252,15KVA SINGLE PHASE SOUNDPROOFED GENSET,TOWER,Generator,Generator,Parent,,,NF,,IHS_OND_898A,IHS_OND_0898A,"468,091.44",0,0,"468,091.44","-468,091.44",0,0,"-468,091.44",0,0,12/5/2014,1.80833333
TW,FA/TW177660,15KVA SINGLE PHASE SOUNDPROOFED GENSET,TOWER,Generator,Generator,Parent,,,NF,,IHS_OND_863A,IHS_OND_0863A,"805,102.02",0,0,"805,102.02","-805,102.02",0,0,"-805,102.02",0,0,12/5/2014,2.38888889
TW,FA/TW132090,27KVA GENERATOR (500 RUN HR) 3 PHASE,TOWER,Generator,Generator,Child,FA/TW246227,,F,,IHS_OND_890A,IHS_OND_0890A,"986,817.16",0,0,"986,817.16","-986,817.16",0,0,"-986,817.16",0,0,12/5/2014,2.31111111
TW,FA/TW180233,15KVA (145 LITRES) 3PHASE 1000 RH GENSET,TOWER,Generator,Generator,Parent,,9000418068,F,"IDLE, BAD",IHS_OND_891A,IHS_OND_0891A,"1,150,383.81",0,0,"1,150,383.81","-1,150,383.81",0,0,"-1,150,383.81",0,0,12/5/2014,2.49722222
